id,name,name_cn,连载结束
106014,裸足でバラを踏め,裸足玫瑰,"2012-03-19 (2012年8号 特大号)"
106227,うわさの翠くん！！,传说中的翠君！！,"2008年第14号"
106265,萌えカレ!!,萌男友,"2006年第14号"
106630,艦隊これくしょん -艦これ- 水雷戦隊クロニクル,舰队收藏 -舰Colle- 水雷战队编年史,"2016-09-26(2016年11月号)"
106631,艦隊これくしょん -艦これ- side:金剛,舰队收藏 -舰Colle- side：金刚,"2014-04-10(2014年5月号)"
107122,スミカスミレ,澄和薰,"2018-03-28(2018年5月号)"
107913,ミサイルとプランクトン,导弹与浮游生物,"2016-03-26(2016年5月号)"
107935,釣りチチ・渚,波霸钓手渚,"2012-02-19(2012年3月号)"
107941,つらみ相互感系,,"2014-04-24"
108551,テクノクラノイズ,眼镜废材男与海盗少女,"2011-10"
108740,もぐささん,百草同学,"2016年6・7合併号"
108809,ブラッディ+メアリー,血腥+玛丽,"2017-02-24(2017年4月号)"
108846,学園チャイカ!,学园嘉依卡！,"2014-12-11(2015年1月号)"
109110,絶望男子と中国娘,绝望男子与中国娘,"2018-03-01"
109225,たまごのきみ。,鸡蛋少女,"2007年2月号"
109447,新機動戦記ガンダムW Endless Waltz 敗者たちの栄光,新机动战记高达W Endless Waltz 败者们的荣光,"2018年1月号"
109498,ステラのまほう,斯特拉的魔法,"2021-12-18(2022年2月号)"
110134,魔法少女管理官・半村久雪,魔法少女管理官半村久雪,"2014-07-26(2014年9月号)"
110748,ダッシュ!四駆郎,四驱小子,"1993年"
110968,BMネクタール,BM究极生物,"2002-07-11 (2001年33号)"
110995,うみねこのなく頃に翼,海猫鸣泣之时翼,2013-04-25(BG 2013Vol.05)
111371,ハツ*ハル,初❀春,2018-04-13(2018年5月号)
111916,出口ゼロ,出口为零,"2017-05-01(2017年6月号)"
112141,Honey Rose 【合本版】,,"2002年9月号"
112177,ディアティア,,"2017-10-31(Vol.25/楽園 Le Paradis)"
112323,嘘つきボーイフレンド,谎言男友,"2017-09-28(2017年11月号)"
112336,う,鳗鱼,"2013年2・3合併号"
112370,ちっちゃいときから好きだけど,从小开始恋上你,"2017-02-13(2017年3月号)"
112519,天のおとしもの,天使爱说笑,"2005-01-18  (2005年1号)"
112567,間宮さんといっしょ,和间宫同学一起,"2018-07-02"
112638,ストライクウィッチーズ オーロラの魔女,强袭魔女 极光的魔女,"2014-10-25(2014年12月号)"
112842,復讐教室,复仇教室,"2017-07-01"
113411,青空嫌いの嘘つきセミ子,讨厌蓝天的说谎的蝇子,"2014-08-11"
113473,端脑,端脑,"2016-05-04"
113515,片翼のラビリンス,片翼迷宫,"2016-07-05 (2016年15号)"
113947,うそカノ,假装女友,"2018-03-24(2018年5月号)"
114402,あくまで恋しよう,彻底地恋爱吧,"2012-07-24(2012年9月号)"
114489,誰も知らない塔のある町,无人知晓的有塔小镇,"2017-01-27（2017年3月号）"
